Date,ITCRM ,ITCRB Brasil,ITCRB Estados Unidos
1999-03-12,71.192,72.6601827,72.2042929
1999-03-13,71.22,72.7034992,72.2232634
1999-03-14,71.248,72.7468416,72.2422389
1999-03-15,70.86,71.2578671,72.2612194
1999-03-16,71.116,72.0588476,72.2802049
1999-03-17,71.345,72.2940175,72.2991954
1999-03-18,71.339,72.3371158,72.3181909
1999-03-19,71.367,72.3802398,72.3371914
1999-03-20,71.396,72.4233895,72.3561968
1999-03-21,71.424,72.4665649,72.3752073
1999-03-22,71.584,73.4897361,72.3942227
1999-03-23,71.52,73.1380879,72.4132432
1999-03-24,71.816,73.7766613,72.4322686
1999-03-25,72.096,75.2481472,72.4512991
1999-03-26,72.357,76.9946036,72.4703345
1999-03-27,72.385,77.0405041,72.489375
1999-03-28,72.414,77.086432,72.5084204
1999-03-29,72.488,77.1323873,72.5274708
1999-03-30,72.967,78.7352647,72.5465263
1999-03-31,73.353,79.4691923,72.5655868
1999-04-01,73.368,79.4865795,72.5840493
1999-04-02,73.382,79.5039705,72.6025165
1999-04-03,73.396,79.5213653,72.6209885
1999-04-04,73.41,79.5387639,72.6394651
1999-04-05,71.685,79.5561663,72.6579464
1999-04-06,73.417,79.5735726,72.6764324
1999-04-07,73.377,79.5909826,72.6949232
1999-04-08,73.747,80.4740459,72.7134186
1999-04-09,73.542,80.0914661,72.7319188
1999-04-10,73.556,80.1089895,72.7504236
1999-04-11,73.57,80.1265167,72.7689332
1999-04-12,73.696,80.1440477,72.7874474
1999-04-13,74.257,82.576183,72.8059664
1999-04-14,74.356,82.59425,72.8244901
1999-04-15,74.222,82.1175329,72.8430185
1999-04-16,74.041,81.8903832,72.8615516
1999-04-17,74.056,81.9083002,72.8800895
1999-04-18,74.07,81.926221,72.898632
1999-04-19,74.042,82.1894231,72.9171793
1999-04-20,73.394,80.0503606,72.9357313
1999-04-21,73.075,78.9175747,72.954288
1999-04-22,73.089,78.9348412,72.9728494
1999-04-23,73.834,81.5775155,72.9914155
1999-04-24,73.848,81.595364,73.0099864
1999-04-25,73.863,81.6132164,73.028562
1999-04-26,73.507,80.6256406,73.0471423
1999-04-27,73.755,80.9281743,73.0657274
1999-04-28,73.769,80.9458808,73.0843172
1999-04-29,73.783,80.963591,73.1029117
1999-04-30,74.144,82.7841093,73.1215109
1999-05-01,74.159,82.8053013,73.1345771
1999-05-02,74.175,82.8264987,73.1476455
1999-05-03,74.022,82.3029888,73.1607163
1999-05-04,73.849,81.5924462,73.1737895
1999-05-05,74.237,81.6133331,73.186865
1999-05-06,74.456,82.1697108,73.1999428
1999-05-07,74.533,82.4858478,73.213023
1999-05-08,74.549,82.5069634,73.2261054
1999-05-09,74.564,82.5280845,73.2391903
1999-05-10,74.576,82.4998285,73.2522774
1999-05-11,74.747,83.5200251,73.265367
1999-05-12,74.606,82.5420724,73.2784588
1999-05-13,74.621,82.5632025,73.291553
1999-05-14,74.636,82.5843379,73.3046495
1999-05-15,74.651,82.6054788,73.3177484
1999-05-16,74.667,82.6266251,73.3308496
1999-05-17,74.587,83.3959218,73.3439531
1999-05-18,74.697,82.6689339,73.357059
1999-05-19,74.713,82.6900964,73.3701673
1999-05-20,74.14,82.1218584,73.3832778
1999-05-21,74.155,82.1428809,73.3963908
1999-05-22,74.17,82.1639088,73.409506
1999-05-23,74.185,82.184942,73.4226236
1999-05-24,74.2,82.2059806,73.4357436
1999-05-25,74.215,82.2270246,73.4488659
1999-05-26,74.231,82.248074,73.4619905
1999-05-27,74.246,82.2691288,73.4751175
1999-05-28,74.846,82.880803,73.4882468
1999-05-29,74.861,82.9020198,73.5013785
1999-05-30,74.877,82.923242,73.5145125
1999-05-31,74.894,82.9444696,73.5276489
1999-06-01,73.147,79.7082233,73.5277974
1999-06-02,72.864,79.3484964,73.5279459
1999-06-03,74.897,82.9606918,73.5280945
1999-06-04,74.898,82.9660999,73.528243
1999-06-05,74.9,82.9715084,73.5283916
1999-06-06,74.902,82.9769172,73.5285401
1999-06-07,74.903,82.9823264,73.5286886
1999-06-08,74.904,82.9877359,73.5288372
1999-06-09,74.906,82.9931458,73.5289857
1999-06-10,73.123,79.1635472,73.5291342
